YEAR,CMTE_ID,TOTAL_TRANSACTIONS,CMTE_NAME
2006,C00207308,9000,AG PROCESSING INC POLITICAL ACTION COMMITTEE AGPAC
2006,C00042002,9000,R.J. REYNOLDS POLITICAL ACTION COMMITTEE; REYNOLDS AMERICAN INC.
2006,C00235739,9000,BURLINGTON NORTHERN SANTA FE CORPORATION RAILPAC (BNSF RAILPAC)
2006,C00122101,9000,SAFARI CLUB INTERNATIONAL PAC
2006,C00128231,9000,"INTERNATIONAL DAIRY FOODS ASSOCIATION (IDFA) - ICE CREAM, MILK & CHEESE PAC"
2006,C00361956,9000,21ST CENTURY MAJORITY FUND
2004,C00018036,9000,U.S. BANCORP POLITICAL PARTICIPATION PROGRAM
2004,C00144766,9000,NATIONAL BEER WHOLESALERS ASSOCIATION POLITICAL ACTION COMMITTEE
2004,C00280222,9000,KPMG PARTNERS/PRINCIPALS & EMPLOYEES POLITICAL ACTION COMMITTEE
2004,C00067884,9000,"CARGILL, INCORPORATED, POLITICAL ACTION COMMITTEE"
2002,C00007880,9000,CREDIT UNION LEGISLATIVE ACTION COUNCIL OF CUNA
2002,C00089136,9000,PHILIP MORRIS COMPANIES INC. POLITICAL ACTION COMMITTEE (AKA PHILPAC)
2006,C00039578,8816,COUNCIL OF INSURANCE AGENTS
2006,C00250209,8500,ALLIANT TECHSYSTEMS INC EMPLOYEE CITIZENSHIP FUND
2002,C00042002,8500,RJR POLITICAL ACTION COMMITTEE; R. J. REYNOLDS TOBACCO COMPANY
2002,C00104802,8500,NORTHWEST AIRLINES POLITICAL ACTION COMMITTEE (FKA REPUBLIC AIRLINES PAC)
2006,C00082917,8379,ASSOCIATED GENERAL CONTRACTORS OF AMERICA POLITICAL ACTION COMMITTEE
2002,C00014555,8133,FOOD MARKETING INSTITUTE POLITICAL ACTION COMMITTEE FOODPAC
2006,C00204099,8000,DEERE & COMPANY POLITICAL ACTION COMMITTEE (AKA JOHN DEERE PAC)
2006,C00144774,8000,SOUTHERN COMPANY EMPLOYEES PAC
2006,C00255752,8000,AMERICAN SOCIETY OF ANESTHESIOLOGISTS POLITICAL ACTION COMMITTEE
2006,C00340083,8000,DEAN FOODS COMPANY POLITICAL ACTION COMMITTEE
2006,C00193631,8000,FARM CREDIT COUNCIL POLITICAL ACTION COMMITTEE
2006,C00121368,8000,EXXONMOBIL CORPORATION POLITICAL ACTION COMMITTEE (EXXONMOBIL PAC)
2004,C00022343,8000,INDEPENDENT INSURANCE AGENTS OF AMERICA POLITICAL ACTION COMMITTEE (INSURPAC)
2004,C00106146,8000,AMERICAN HOSPITAL ASSOCIATION PAC
2002,C00330464,8000,BAYOU LEADER POLITICAL ACTION COMMITTEE
2002,C00236489,8000,KOCH INDUSTRIES INC POLITICAL ACTION COMMITTEE (KOCHPAC)
2002,C00106146,8000,AMERICAN HOSPITAL ASSOCIATION POLITICAL ACTION COMMITTEE (AHAPAC)
2002,C00030718,8000,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE
2000,C00067884,8000,"CARGILL, INCORPORATED, POLITICAL ACTION COMMITTEE"
2004,C00002881,7999,TRUCKING POLITICAL ACTION COMMITTEE OF THE AMERICAN TRUCKING ASSOCIATIONS INC.
2006,C00095109,7750,ALLIANZ OF AMERICA CORPORATION/FIREMAN'S FUND POLITICAL ACTION COMMTTEE
2006,C00082040,7500,US CHAMBER OF COMMERCE PAC (NCAP)
2006,C00018028,7500,PRINTING INDUSTRIES OF AMERICA
2006,C00412320,7500,MINT POLITICAL ACTION COMMITTEE (MINT PAC)
2004,C00101105,7500,NATIONAL FEDERATION OF INDEPENDENT BUSINESS/ SAVE AMERICA'S FREE ENTERPRISE TRUST
2004,C00067504,7500,SECURITIES INDUSTRY ASSOCIATION POLITICAL ACTION COMMITTEE
2004,C00093054,7500,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT
2004,C00218263,7500,TCF PAC
2004,C00034595,7500,WELLS FARGO AND COMPANY EMPLOYEE PAC (AKA WELLS FARGO EMPLOYEE PAC)
2002,C00330068,7500,PROMOTING REPUBLICANS YOU CAN ELECT PROJECT (PRYCE PROJECT)
2002,C00002972,7500,ACTION COMMITTEE FOR RURAL ELECTRIFICATION (ACRE) NATIONAL RURAL ELECTRIC COOP. ASSOC.
2002,C00002261,7500,FEDERATION OF AMERICAN HOSPITALS PAC (FEDPAC); (FKA AMERICAN HEALTH SYSTEMS PAC)
2006,C00359539,7459,AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE
2006,C00084475,7400,3M COMPANY
2004,C00167916,7250,LOCKRIDGE GRINDAL NAUEN POLITICAL FUND
2002,C00129171,7178,MCCL COMMITTEE FOR A PRO-LIFE CONGRESS
2006,C00283523,7000,DALLAS ENTREPRENEUR POLITICAL ACTION COMMITTEE
2006,C00281212,7000,BAE SYSTEMS INC. POLITICAL ACTION COMMITTEE (BAE SYSTEMS USA PAC)
2006,C00326595,7000,CAPITAL ONE FINANCIAL CORP. ASSOC. POLITICAL  FUND
